Type	Dubious	ORF	Gene	Chr	Start	End	Description	DAMP
ORF	Verified	YML081C-A	ATP18	13	104162	103983	Subunit of the mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms	 
ORF	Verified	YML081W	TDA9	13	104777	108532	Transcription factor that regulates acetate production; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; TDA9 has a paralog, RSF2, that arose from the whole genome duplication	 
ORF	Verified	YML080W	DUS1	13	108806	110077	Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus3p, and Dus4p; modifies pre-tRNA(Phe) at U17	 
ORF	Uncharacterized	YML079W		13	110247	110852	Non-essential protein of unknown function; has structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm	 
ORF	Verified	YML078W	CPR3	13	111002	111550	Mitochondrial peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; involved in protein refolding after import into mitochondria	 
ORF	Verified	YML077W	BET5	13	111865	112344	Component of the TRAPP (transport protein particle) complex; TRAPP plays an essential role in the vesicular transport from endoplasmic reticulum to Golgi	DAMP
ORF	Verified	YML076C	WAR1	13	115347	112513	Homodimeric Zn2Cys6 zinc finger transcription factor; binds to a weak acid response element to induce transcription of PDR12 and FUN34, encoding an acid transporter and a putative ammonia transporter, respectively	 
ORF	Verified	YML075C	HMG1	13	118898	115734	HMG-CoA reductase; catalyzes the conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; one of two isozymes; localizes to the nuclear envelope; overproduction induces the formation of karmellae; forms foci at the nuclear periphery upon DNA replication stress; HMG1 has a paralog, HMG2, that arose from the whole genome duplication	 
ORF	Verified	YML074C	FPR3	13	121324	120089	Nucleolar peptidyl-prolyl cis-trans isomerase (PPIase); FK506 binding protein; phosphorylated by casein kinase II (Cka1p-Cka2p-Ckb1p-Ckb2p) and dephosphorylated by Ptp1p; FPR3 has a paralog, FPR4, that arose from the whole genome duplication	 
ORF	Verified	YML073C	RPL6A	13	124172	123227	Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication	 
ORF	Verified	YML072C	TCB3	13	129367	124730	Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1p phosphatase to its substrate PI4P in the PM; localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact	 
ORF	Verified	YML071C	COG8	13	131572	129749	Component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	 
ORF	Verified	YML070W	DAK1	13	133475	135229	Dihydroxyacetone kinase; required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation	 
ORF	Verified	YML069W	POB3	13	135500	137158	Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; protein abundance increases in response to DNA replication stress	DAMP
ORF	Verified	YML068W	ITT1	13	137550	138944	Protein that modulates the efficiency of translation termination; interacts with translation release factors eRF1 (Sup45p) and eRF3 (Sup35p) in vitro, contains a zinc finger domain characteristic of the TRIAD class of proteins	 
ORF	Verified	YML067C	ERV41	13	140214	139063	Protein localized to COPII-coated vesicles; forms a complex with Erv46p; involved in the membrane fusion stage of transport; has homology to human ERGIC2 (PTX1) protein	 
ORF	Verified	YML066C	SMA2	13	141533	140424	Meiosis-specific prospore membrane protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation	 
ORF	Verified	YML065W	ORC1	13	142210	144954	Largest subunit of the origin recognition complex; involved in directing DNA replication by binding to replication origins; also involved in transcriptional silencing; exhibits ATPase activity; ORC1 has a paralog, SIR3, that arose from the whole genome duplication	DAMP
ORF	Verified	YML064C	TEM1	13	145876	145139	GTP-binding protein of the Ras superfamily; involved in termination of M-phase; controls actomyosin and septin dynamics during cytokinesis	 
ORF	Verified	YML063W	RPS1B	13	146482	147249	Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication	 
ORF	Verified	YML062C	MFT1	13	148683	147505	Subunit of the THO complex; THO is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance	 
ORF	Verified	YML061C	PIF1	13	151532	148953	DNA helicase, potent G-quadruplex DNA binder and unwinder; promotes DNA synthesis during break-induced replication (BIR); important for crossover recombination; nuclear form acts as a catalytic inhibitor of telomerase; mitochondrial form is involved in repair and recombination of mitochondrial DNA; mutations affect zinc and iron homeostasis; regulated by Rad53p-dependent phosphorylation in rho0 cells	 
ORF	Verified	YML060W	OGG1	13	151871	153001	Nuclear and mitochondrial glycosylase/lyase; specifically excises 7,8-dihydro-8-oxoguanine residues located opposite cytosine or thymine residues in DNA, repairs oxidative damage to mitochondrial DNA, contributes to UVA resistance	 
ORF	Verified	YML059C	NTE1	13	158258	153219	Serine esterase; homolog of human neuropathy target esterase (NTE); Nte1p-mediated phosphatidylcholine turnover influences transcription factor Opi1p localization, affecting transcriptional regulation of phospholipid biosynthesis genes	 
ORF	Verified	YML058W-A	HUG1	13	158760	158966	Protein involved in the Mec1p-mediated checkpoint pathway; transcription is induced by DNA damage; protein abundance increases in response to DNA replication stress	 
ORF	Verified	YML058W	SML1	13	159383	159697	Ribonucleotide reductase inhibitor; involved in regulating dNTP production; regulated by Mec1p and Rad53p during DNA damage and S phase; SML1 has a paralog, DIF1, that arose from the whole genome duplication	 
ORF	Verified	YML057W	CMP2	13	160180	161994	Calcineurin A; one isoform (the other is Cna1p) of the catalytic subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is CNB1; regulates the function of Aly1p alpha-arrestin; CMP2 has a paralog, CNA1, that arose from the whole genome duplication	 
ORF	Dubious	YML057C-A		13	160412	160023	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene CMP2/YML057W	 
ORF	Verified	YML056C	IMD4	13	164176	162194	Inosine monophosphate dehydrogenase; catalyzes the rate-limiting step in the de novo synthesis of GTP; member of a four-gene family in S. cerevisiae, constitutively expressed; IMD4 has a paralog, IMD3, that arose from the whole genome duplication	 
ORF	Verified	YML055W	SPC2	13	164790	165326	Subunit of signal peptidase complex; complex catalyzes cleavage of N-terminal signal sequences of proteins targeted to the secretory pathway; homologous to mammalian SPC25; other members of the complex are Spc1p, Spc1p, and Sec11p	 
ORF	Verified	YML054C	CYB2	13	167308	165533	Cytochrome b2 (L-lactate cytochrome-c oxidoreductase); component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions	 
ORF	Uncharacterized	YML054C-A		13	167781	167623	Putative protein of unknown function	 
ORF	Uncharacterized	YML053C		13	169754	169116	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; overexpression causes a cell cycle delay or arrest; YML053C is not an essential gene	 
ORF	Verified	YML052W	SUR7	13	170402	171310	Plasma membrane protein of unknown function involved with endocytosis; associated with endocytosis along with Pil1p and Lsp1p; component of eisosomes; sporulation and plasma membrane sphingolipid content are altered in mutants; localizes to furrow-like invaginations (MCC patches)	 
ORF	Verified	YML051W	GAL80	13	171594	172901	Transcriptional regulator involved in the repression of GAL genes; involved in the repression of GAL genes in the absence of galactose; inhibits transcriptional activation by Gal4p; inhibition relieved by Gal3p or Gal1p binding	 
ORF	Verified	YML050W	AIM32	13	173139	174074	Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss	 
ORF	Verified	YML049C	RSE1	13	178305	174220	Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport	DAMP
ORF	Verified	YML048W	GSF2	13	178426	179637	Endoplasmic reticulum (ER) localized integral membrane protein; may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression	 
ORF	Dubious	YML047W-A		13	179893	180258	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF PRM6/YML047C	 
ORF	Verified	YML047C	PRM6	13	181075	180017	Potassium transporter that mediates K+ influx; activates high-affinity Ca2+ influx system (HACS) during mating pheromone response; expression up-regulated in response to alpha factor; regulated by Ste12p during mating; localized to sites of polarized growth; member of a fungal-specific gene family; PRM6 has a paralog, KCH1, that arose from the whole genome duplication	 
ORF	Verified	YML046W	PRP39	13	181474	183363	U1 snRNP protein involved in splicing; contains multiple tetriatricopeptide repeats	 
ORF	Verified	YML043C	RRN11	13	191767	190244	Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p	 
ORF	Verified	YML042W	CAT2	13	192788	194800	Carnitine acetyl-CoA transferase; present in both mitochondria and peroxisomes; transfers activated acetyl groups to carnitine to form acetylcarnitine which can be shuttled across membranes	 
ORF	Verified	YML041C	VPS71	13	195755	194913	Nucleosome-binding component of the SWR1 complex; SWR1 exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting	 
ORF	Verified	YML038C	YMD8	13	204103	202775	Putative nucleotide sugar transporter; has similarity to Vrg4p	 
ORF	Uncharacterized	YML037C		13	205408	204386	Putative protein of unknown function; has some characteristics of a transcriptional activator; may be a target of Dbf2p-Mob1p kinase; GFP-fusion protein co-localizes with clathrin-coated vesicles; YML037C is not an essential gene	 
ORF	Verified	YML036W	CGI121	13	205642	206293	Component of the EKC/KEOPS complex; EKC/KEOPS complex is required for t6A tRNA modification and may have roles in telomere maintenance and transcription; Cgi121p is dispensable for tRNA modification; other complex members are Bud32p, Kae1p, Pcc1p, and Gon7p	 
ORF	Verified	YML035C	AMD1	13	208860	206428	AMP deaminase; tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; thought to be involved in regulation of intracellular purine (adenine, guanine, and inosine) nucleotide pools	 
ORF	Verified	YML034W	SRC1	13	209525	212155	Inner nuclear membrane protein; highly enriched at telomeres and subtelomeric regions; functions in regulation of subtelomeric genes and is linked to TREX (transcription export) factors; SRC1 produces 2 splice variant proteins with different functions; alternative splicing of SRC1 pre-mRNA is promoted by Hub1p; mutant has aneuploidy tolerance; SEC1 has a paralog, HEH2, that arose from the whole genome duplication	 
ORF	Dubious	YML034C-A		13	209826	209428	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF SRC1/YML034W	 
ORF	Verified	YML032C	RAD52	13	213930	212515	Protein that stimulates strand exchange; stimulates strand exchange by facilitating Rad51p binding to single-stranded DNA; anneals complementary single-stranded DNA; involved in the repair of double-strand breaks in DNA during vegetative growth and meiosis	 
ORF	Verified	YML031W	NDC1	13	214189	216156	Subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication; homologous to human NDC1	 
ORF	Dubious	YML031C-A		13	214421	214086	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF NDC1/YML031W	 
ORF	Verified	YML030W	RCF1	13	216435	216914	Cytochrome c oxidase subunit; required for assembly of the Complex III-Complex IV supercomplex, and for assembly of Cox13p and Rcf2p into cytochrome c oxidase; similar to Rcf2p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity; required for growth under hypoxic conditions; member of the hypoxia induced gene family; C. elegans and human orthologs are functional in yeast	 
ORF	Verified	YML029W	USA1	13	217362	219878	Scaffold subunit of the Hrd1p ubiquitin ligase; also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p	 
ORF	Verified	YML028W	TSA1	13	220138	220728	Thioredoxin peroxidase; acts as both a ribosome-associated and free cytoplasmic antioxidant; self-associates to form high-molecular weight chaperone complex under oxidative stress; deletion causes mutator phenotype; protein abundance increases and forms cytoplasmic foci during DNA replication stress; chaperone activity is essential for growth under zinc deficiency; required for telomere length maintenance; TSA1 has a paralog, TSA2, that arose from the whole genome duplication	 
ORF	Verified	YML027W	YOX1	13	221406	222563	Homeobox transcriptional repressor; binds to Mcm1p and to early cell cycle boxes (ECBs) in the promoters of cell cycle-regulated genes expressed in M/G1 phase; expression is cell cycle-regulated; potential Cdc28p substrate; relocalizes from nucleus to cytoplasm upon DNA replication stress; YOX1 has a paralog, YHP1, that arose from the whole genome duplication	 
ORF	Verified	YML026C	RPS18B	13	223828	222987	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18B has a paralog, RPS18A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	 
ORF	Verified	YML025C	YML6	13	225365	224406	Mitochondrial ribosomal protein of the large subunit; has similarity to E. coli L4 ribosomal protein and human mitoribosomal MRP-L4 protein; essential for viability, unlike most other mitoribosomal proteins	DAMP
ORF	Verified	YML024W	RPS17A	13	225889	226697	Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17A has a paralog, RPS17B, that arose from the whole genome duplication	 
ORF	Verified	YML023C	NSE5	13	228664	226994	Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair	DAMP
ORF	Verified	YML022W	APT1	13	228937	229500	Adenine phosphoribosyltransferase; catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis; APT1 has a paralog, APT2, that arose from the whole genome duplication	 
ORF	Verified	YML021C	UNG1	13	230813	229734	Uracil-DNA glycosylase; required for repair of uracil in DNA formed by spontaneous cytosine deamination; efficiently excises uracil from single-stranded DNA in vivo; not required for strand-specific mismatch repair; cell-cycle regulated, expressed in late G1; localizes to mitochondria and nucleus	 
ORF	Uncharacterized	YML020W		13	231149	233143	Putative protein of unknown function	 
ORF	Verified	YML019W	OST6	13	233457	234455	Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins; similar to and partially functionally redundant with Ost3p	 
ORF	Verified	YML018C		13	235952	234771	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of the vacuole; physical interaction with Atg27p suggests a possible role in autophagy; YML018C is not an essential gene; relative distribution to the vacuolar membrane decreases upon DNA replication stress; YML018C has a paralog, THI74, that arose from the whole genome duplication	 
ORF	Verified	YML017W	PSP2	13	236588	238731	Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a conditional mutation in POL1 (DNA polymerase alpha); possible role in mitochondrial mRNA splicing	 
ORF	Verified	YML016C	PPZ1	13	241536	239458	Serine/threonine protein phosphatase Z, isoform of Ppz2p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance; PPZ1 has a paralog, PPZ2, that arose from the whole genome duplication	 
ORF	Verified	YML015C	TAF11	13	243029	241989	TFIID subunit (40 kDa); involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors	DAMP
ORF	Verified	YML014W	TRM9	13	243225	244064	tRNA methyltransferase; catalyzes modification of wobble bases in tRNA anticodons to 2, 5-methoxycarbonylmethyluridine and 5-methoxycarbonylmethyl-2-thiouridine; may act as part of a complex with Trm112p; deletion mutation increases translational infidelity, including amino acid misincorporation and -1 frameshifting, and also confers resistance to zymocin; null mutant displays activation of stress responses	 
ORF	Verified	YML013W	UBX2	13	244149	245903	Bridging factor involved in ER-associated protein degradation (ERAD); bridges the cytosolic Cdc48p-Npl1p-Ufd1p ATPase complex and the membrane associated Ssm4p and Hrd1p ubiquitin ligase complexes; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain; redistributes from the ER to lipid droplets during the diauxic shift and stationary phase; required for the maintenance of lipid homeostasis	 
ORF	Dubious	YML012C-A		13	245914	245537	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene SEL1	 
ORF	Verified	YML012W	ERV25	13	246116	246751	Member of the p24 family involved in ER to Golgi transport; forms a heterotrimeric complex with Erp1, Erp2p, and Emp24,	 
ORF	Verified	YML011C	RAD33	13	247428	246895	Protein involved in nucleotide excision repair; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	 
ORF	Verified	YML010W	SPT5	13	247677	250868	Component of the universally conserved Spt4/5 complex (DSIF complex); the complex has multiple roles in concert with RNA polymerases I and II, including regulation of transcription elongation, RNA processing, quality control, and transcription-coupled DNA repair	DAMP
ORF	Dubious	YML009W-B		13	250435	250911	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition	 
ORF	Dubious	YML009C-A		13	251001	250675	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORFs SPT5/YML010W and YML009W-B	 
ORF	Verified	YML009C	MRPL39	13	251516	251304	Mitochondrial ribosomal protein of the large subunit	 
ORF	Verified	YML008C	ERG6	13	252990	251839	Delta(24)-sterol C-methyltransferase; converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to lipid particles, the plasma membrane-associated endoplasmic reticulum, and the mitochondrial outer membrane	 
ORF	Uncharacterized	YML007C-A		13	253272	253162	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria	 
ORF	Verified	YML007W	YAP1	13	253848	255800	Basic leucine zipper (bZIP) transcription factor; required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; Yap1p is degraded in the nucleus after the oxidative stress has passed; mediates resistance to cadmium; relative distribution to the nucleus increases upon DNA replication stress; YAP1 has a paralog, CAD1, that arose from the whole genome duplication	 
ORF	Verified	YML006C	GIS4	13	258416	256092	CAAX box containing protein of unknown function; proposed to be involved in the RAS/cAMP signaling pathway	 
ORF	Verified	YML005W	TRM12	13	260221	261609	S-adenosylmethionine-dependent methyltransferase; required for wybutosine formation in phenylalanine-accepting tRNA; member of the seven beta-strand family	 
ORF	Verified	YML004C	GLO1	13	262685	261705	Monomeric glyoxalase I; catalyzes the detoxification of methylglyoxal (a by-product of glycolysis) via condensation with glutathione to produce S-D-lactoylglutathione; expression regulated by methylglyoxal levels and osmotic stress	 
ORF	Uncharacterized	YML003W		13	263483	264355	Putative protein of unknown function	 
ORF	Uncharacterized	YML002W		13	264541	266754	Putative protein of unknown function; expression induced by heat and by calcium shortage	 
ORF	Verified	YML001W	YPT7	13	267174	267800	Rab family GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion; interacts with the cargo selection/retromer complex for retrograde sorting; similar to mammalian Rab7	 
ORF	Verified	YMR001C	CDC5	13	271136	269019	Polo-like kinase with multiple functions in mitosis and cytokinesis; regulates Spc72p; also functions in adaptation to DNA damage during meiosis; has similarity to Xenopus Plx1 and S. pombe Plo1p; possible Cdc28p substrate	DAMP
ORF	Uncharacterized	YMR001C-A		13	271577	271347	Putative protein of unknown function	 
ORF	Verified	YMR002W	MIC17	13	272193	272663	Mitochondrial intermembrane space protein; required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress	 
ORF	Verified	YMR003W	AIM34	13	273118	273714	Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss	 
ORF	Verified	YMR004W	MVP1	13	274017	275552	Protein required for sorting proteins to the vacuole; Mvp1p and Vps1p act in concert to promote membrane traffic to the vacuole; participates in transcription initiation and/or early elongation of specific genes; interacts with "foot domain" of RNA polymerase II; deletion results in abnormal CTD-Ser5 phosphorylation of RNA polymerase II at specific promoter regions; protein abundance increases in response to DNA replication stress	 
ORF	Verified	YMR005W	TAF4	13	276045	277211	TFIID subunit (48 kDa); involved in RNA polymerase II transcription initiation; potential Cdc28p substrate	DAMP
ORF	Verified	YMR006C	PLB2	13	279681	277561	Phospholipase B (lysophospholipase) involved in lipid metabolism; displays transacylase activity in vitro; overproduction confers resistance to lysophosphatidylcholine	 
ORF	Dubious	YMR007W		13	279960	280340	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	 
ORF	Verified	YMR008C	PLB1	13	282584	280590	Phospholipase B (lysophospholipase) involved in lipid metabolism; required for efficient acyl chain remodeling of newly synthesized phosphatidylethanolamine-derived phosphatidylcholine; required for deacylation of phosphatidylcholine and phosphatidylethanolamine but not phosphatidylinositol; PLB1 has a paralog, PLB3, that arose from the whole genome duplication	 
ORF	Verified	YMR009W	ADI1	13	284102	284641	Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed as polycistronic mRNA with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions	 
ORF	Uncharacterized	YMR010W		13	285100	286317	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR010W is not an essential gene; YMR010W mRNA is transcribed with ADI1	 
ORF	Verified	YMR011W	HXT2	13	288079	289704	High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose	 
ORF	Verified	YMR012W	CLU1	13	291134	294967	Subunit of the eukaryotic translation initiation factor 3 (eIF3); component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation; can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant	 
ORF	Dubious	YMR013C-A		13	296620	296471	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF SEC59/YML013C	 
ORF	Verified	YMR013C	SEC59	13	296738	295179	Dolichol kinase; catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation	DAMP
ORF	Dubious	YMR013W-A		13	298311	298391	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the characterized snoRNA gene snR73	 
ORF	Verified	YMR014W	BUD22	13	298868	300427	Protein required for rRNA maturation and ribosomal subunit biogenesis; required for 18S rRNA maturation; also required for small ribosomal subunit biogenesis; cosediments with pre-ribosomal particles; mutation decreases efficiency of +1 Ty1 frameshifting and transposition, and affects budding pattern	 
ORF	Verified	YMR015C	ERG5	13	302485	300869	C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs	 
ORF	Verified	YMR016C	SOK2	13	305593	303236	Nuclear protein that negatively regulates pseudohyphal differentiation; plays a regulatory role in the cyclic AMP (cAMP)-dependent protein kinase (PKA) signal transduction pathway; relocalizes to the cytosol in response to hypoxia; SOK2 has a paralog, PHD1, that arose from the whole genome duplication	 
ORF	Verified	YMR017W	SPO20	13	307489	308682	Meiosis-specific subunit of the t-SNARE complex; required for prospore membrane formation during sporulation; similar to but not functionally redundant with Sec9p; SNAP-25 homolog	 
ORF	Uncharacterized	YMR018W		13	310208	311752	Putative protein of unknown function with similarity to human PEX5Rp; transcription increases during colony development similar to genes involved in peroxisome biogenesis; YMR018W is not an essential gene; PEX5Rp is also known as peroxin protein 5 related protein	 
ORF	Verified	YMR019W	STB4	13	312156	315005	Putative transcription factor; contains a Zn(II)2Cys6 zinc finger domain characteristic of DNA-binding proteins; computational analysis suggests a role in regulation of expression of genes encoding transporters; binds Sin3p in a two-hybrid assay;	 
ORF	Verified	YMR020W	FMS1	13	315377	316903	Polyamine oxidase; converts spermine to spermidine, which is required for the essential hypusination modification of translation factor eIF-5A; also involved in pantothenic acid biosynthesis	 
ORF	Verified	YMR021C	MAC1	13	318418	317165	Copper-sensing transcription factor; involved in regulation of genes required for high affinity copper transport	 
ORF	Verified	YMR022W	UBC7	13	318680	319177	Ubiquitin conjugating enzyme; involved in the ER-associated protein degradation pathway; requires Cue1p for recruitment to the ER membrane; proposed to be involved in chromatin assembly	 
ORF	Verified	YMR023C	MSS1	13	321017	319437	Mitochondrial protein; forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; similar to human GTPBP3	 
ORF	Verified	YMR024W	MRPL3	13	321875	323047	Mitochondrial ribosomal protein of the large subunit; located in close proximity to the polypeptide exit channel of the ribosome; mutations in human homolog MRPL44 cause childhood cardiomyopathy; human MRPL44 deficiency results in inefficient assembly of the mitochondrial ribosome, and in tissue-specific respiratory chain deficiency, manifesting as either Complex I+Complex IV or Complex IV deficiency, depending on a cell type	 
ORF	Verified	YMR025W	CSI1	13	323300	324187	Subunit of the Cop9 signalosome; which is required for deneddylation, or removal of the ubiquitin-like protein Rub1p from Cdc53p (cullin); involved in adaptation to pheromone signaling; functional equivalent of canonical Csn6 subunit of the COP9 signalosome	 
ORF	Verified	YMR026C	PEX12	13	325435	324236	C3HC4-type RING-finger peroxin and E3 ubiquitin ligase; required for peroxisome biogenesis and peroxisomal matrix protein import; forms translocation subcomplex with Pex2p and Pex10p; mutations in human homolog cause peroxisomal disorder	 
ORF	Uncharacterized	YMR027W		13	325877	327289	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene	 
ORF	Verified	YMR028W	TAP42	13	327482	328582	Essential protein involved in the TOR signaling pathway; physically associates with the protein phosphatase 2A and the SIT4 protein phosphatase catalytic subunits	DAMP
ORF	Verified	YMR029C	FAR8	13	330231	328660	Protein involved in recovery from arrest in response to pheromone; acts in a cell cycle arrest recovery pathway independent from Far1p; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p	 
ORF	Verified	YMR030W	RSF1	13	330793	331923	Protein required for respiratory growth; localized to both the nucleus and mitochondrion; may interact with transcription factors to mediate the transition to respiratory growth and activate transcription of nuclear and mitochondrial genes	 
ORF	Dubious	YMR031W-A		13	334709	335035	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant displays shortened telomeres; partially overlaps the uncharacterized ORF YMR031C	 
ORF	Verified	YMR031C	EIS1	13	334743	332212	Component of the eisosome required for proper eisosome assembly; similar to Uso1p; authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress; EIS1 has a paralog, YKL050C, that arose from the whole genome duplication	 
ORF	Verified	YMR032W	HOF1	13	335298	337307	SH3 domain-containing protein required for cytokinesis; localized to bud neck; phosphorylated by Dbf2p; regulates actomyosin ring dynamics and septin localization; interacts with the formins, Bni1p and Bnr1p, and with Cyk3p, Vrp1p, and Bni5p	 
ORF	Uncharacterized	YMR030W-A		13	337313	337603	Putative protein of unknown function	 
ORF	Verified	YMR033W	ARP9	13	337788	339277	Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation	DAMP
